code_naf,code_rome,name,desc
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure méthanisation (code OGR:200082) libelle:Ingénieur / Ingénieure méthanisation
80.30Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure paysagiste (code OGR:15852) libelle:Ingénieur / Ingénieure paysagiste
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur-conseil / Ingénieure-conseil agricole (code OGR:510343) libelle:Ingénieur-conseil / Ingénieure-conseil agricole
01.49Z,A1304,Conseiller / Conseillère technique agricole,Animateur / Animatrice agricole (code OGR:10972) libelle:Animateur / Animatrice agricole
01.49Z,A1304,Conseiller / Conseillère technique agricole,Animateur / Animatrice d'organismes agricoles (code OGR:11050) libelle:Animateur / Animatrice d'organismes agricoles
85.10Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère agricole (code OGR:13350) libelle:Conseiller / Conseillère agricole
01.61Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère d'agriculture (code OGR:13386) libelle:Conseiller / Conseillère d'agriculture
77.31Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère de gestion agricole (code OGR:13388) libelle:Conseiller / Conseillère de gestion agricole
01.46Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère d'élevage en production laitière (code OGR:13395) libelle:Conseiller / Conseillère d'élevage en production laitière
46.63Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en génie climatique agricole (code OGR:38324) libelle:Conseiller / Conseillère en génie climatique agricole
01.61Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en irrigation (code OGR:13439) libelle:Conseiller / Conseillère en irrigation
77.31Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en machinisme agricole (code OGR:13440) libelle:Conseiller / Conseillère en machinisme agricole
58.21Z,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère viticole (code OGR:13496) libelle:Conseiller / Conseillère viticole
46.19B,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne Conseil aux agriculteurs (code OGR:404026) libelle:Technicien / Technicienne Conseil aux agriculteurs
86.90D,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne semences (code OGR:20252) libelle:Technicien / Technicienne semences
58.14Z,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne viticole (code OGR:20286) libelle:Technicien / Technicienne viticole
